text_id,entity_text,label
1,IPCC,ORG
1,Sixth Assessment,PERSON
1,General Antonio,PERSON
1,COP,ORG
2,COP28,EVENT
2,Dubai,GPE
2,United Arab Emirates,GPE
3,The World Bank,ORG
3,$12.5,MONEY
3,Sub-,ORG
3,Saharan Africa,PERSON
3,South Asia,PERSON
3,The fund,ORG
3,World Bank,PERSON
3,President Ajay,PERSON
4,Jordan,GPE
4,National Climate,PERSON
4,Change Policy,PERSON
4,The Ministry,PERSON
4,UNDP,ORG
4,European Union,PERSON
5,UNFCCC,ORG
5,Executive Secretary,PERSON
5,Simon Stiell,PERSON
5,Bonn Climate,PERSON
5,Change Conference,PERSON
5,Paris Agreement,LAW
6,The European,PERSON
6,Carbon Border,PERSON
6,Adjustment Mechanism,PERSON
7,In September,PERSON
7,United Nations,PERSON
7,General Assembly,PERSON
7,Climate Ambition,PERSON
7,New York,PERSON
7,Paris Agreement,LAW
8,FAO,ORG
8,State of Food and Agriculture,ORG
8,735 million,MONEY
8,General Qu,PERSON
9,Green Climate Fund,ORG
9,$1.2,MONEY
9,Songdo,GPE
9,South Korea,GPE
9,$150,MONEY
9,Bangladesh,GPE
9,$90,MONEY
9,Congo Basin,PERSON
9,$45,MONEY
9,Jordan,GPE
9,The fund,ORG
9,$12,MONEY
10,China,GPE
10,Special Envoy,PERSON
10,Climate Change,PERSON
10,Xie Zhenhua,PERSON
10,Climate Envoy,PERSON
10,John Kerry,PERSON
10,Sunnylands,GPE
10,California,GPE
10,Paris Agreement,PERSON
10,COP28,EVENT
11,NASA,ORG
11,Goddard Institute,PERSON
11,Space Studies,PERSON
11,The El,PERSON
11,Southern Europe,PERSON
11,North Africa,PERSON
11,Middle East,PERSON
12,Science,GPE
12,Greenland Ice,PERSON
12,270 billion,MONEY
12,GRACE,ORG
12,GRACE-FO,ORG
13,The Arctic,PERSON
13,National Snow,PERSON
13,Ice Data,PERSON
13,Boulder,GPE
13,Colorado,GPE
13,Arctic sea,LOC
14,Great Barrier,PERSON
14,Reef Foundation,PERSON
15,Max Planck,PERSON
15,Nature Geoscience,PERSON
15,Atlantic Meridional,PERSON
15,Overturning Circulation,PERSON
15,AMOC,ORG
15,North Atlantic,PERSON
15,Northern Europe,PERSON
15,East Coast,PERSON
16,Atmospheric CO2,PERSON
16,Mauna Loa,PERSON
16,Hawaii,GPE
16,NOAA,ORG
17,the University of Leeds,ORG
17,227 billion,MONEY
17,298 billion,MONEY
17,Geophysical Research,PERSON
17,1.9 billion,MONEY
18,The World,PERSON
18,Meteorological Organization,PERSON
18,WMO,ORG
18,General Celeste,PERSON
19,National Academy,PERSON
19,Siberia,LOC
19,Alaska,GPE
19,600 million,MONEY
19,"1,500 billion",MONEY
20,Potsdam Institute,PERSON
20,Climate Impact,PERSON
20,Greenland Ice,PERSON
20,West Antarctic,PERSON
20,Ice Sheet,PERSON
20,Atlantic Meridional,PERSON
20,Overturning Circulation,PERSON
20,Science,GPE
21,The European,PERSON
21,Space Agency,PERSON
21,Copernicus Climate,PERSON
21,Change Service,PERSON
21,El Nino,PERSON
21,Saharan,GPE
21,Antarctic sea,LOC
21,Copernicus,ORG
21,Carlo Buontempo,PERSON
22,Annual Review,PERSON
22,Marine Science,PERSON
22,Southern Ocean,PERSON
22,Arctic,LOC
23,The Dead,PERSON
23,Jordan River,PERSON
23,Jordan,GPE
23,the West Bank,ORG
24,Mediterranean,LOC
24,Greece,GPE
24,Turkey,GPE
24,Algeria,GPE
24,Tunisia,GPE
24,Sicily,GPE
24,an estimated,MONEY
24,$3.5,MONEY
25,Pacific Island,PERSON
25,Tuvalu,GPE
25,Kiribati,GPE
25,Marshall Islands,PERSON
25,Tuvalu,ORG
25,Australia,GPE
26,Flash,PERSON
26,Derna,GPE
26,Libya,GPE
26,Storm Daniel,PERSON
27,Jordan,GPE
27,Jordan Valley,PERSON
28,African Union,PERSON
28,Climate Research,PERSON
28,Mediterranean,LOC
28,Southern Europe,PERSON
28,In March,PERSON
28,Scandinavia,LOC
29,Amman,GPE
29,The Jordanian,PERSON
30,The IPCC,ORG
30,Working Group,PERSON
30,South Asia,PERSON
30,Sub-,ORG
30,Saharan Africa,PERSON
30,3.6 billion,MONEY
31,Hurricane Otis,PERSON
31,Acapulco,GPE
31,Mexico,GPE
31,Category 5,LAW
31,Eastern Pacific,PERSON
31,$16,MONEY
32,The Sahel,PERSON
32,Africa,LOC
32,45 million,MONEY
32,Burkina Faso,PERSON
32,Mali,PERSON
32,Niger,PERSON
32,Chad,GPE
32,The World,PERSON
32,Food Programme,PERSON
32,12 million,MONEY
33,In October,PERSON
33,GLOF,ORG
33,Sikkim,GPE
33,India,GPE
33,Teesta III,PERSON
33,23 billion,MONEY
33,Hindu Kush,PERSON
33,Himalaya region,LOC
34,500 million,MONEY
34,$375,MONEY
34,The Caribbean,PERSON
35,Jordan,GPE
35,Disi Water,PERSON
35,Conveyance Project,PERSON
35,$990,MONEY
35,100 million,MONEY
35,Amman,GPE
35,Aqaba,GPE
36,The Kingdom,PERSON
36,Jordan,GPE
36,Mafraq,GPE
36,Jordan,PERSON
36,The Mafraq,PERSON
36,the European Bank,ORG
37,Singapore,GPE
37,$72,MONEY
37,The Tuas,PERSON
38,UNEP,ORG
38,Adaptation Gap,PERSON
38,$215,MONEY
38,$387,MONEY
38,$21,MONEY
39,The Netherlands,PERSON
39,River,LOC
39,2.3 billion,MONEY
39,"the Rhine, Meuse",ORG
39,Europe,LOC
40,Kenya,GPE
40,Great Green,PERSON
40,15 million,MONEY
40,FAO,ORG
